input,output
Which of the following are characteristics of metals? A) High electrical conductivity B) Brittle C) Low melting point D) Shiny luster,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY'], 'topic': ['METALS_NONMETALS', 'PERIODIC_TABLE'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
"Describe the structure of DNA and its role in heredity, with a focus on real-world genetic applications.","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['BIOLOGY'], 'topic': ['HEREDITY_AND_EVOLUTION', 'CELL_STRUCTURE'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
How did the Industrial Revolution influence urbanization and environmental changes?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY', 'GEOGRAPHY'], 'topic': ['MODERN_HISTORY', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"Calculate the work done by a force of 10N over a distance of 5m, and explain its significance in energy conservation.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['PHYSICS'], 'topic': ['WORK_AND_ENERGY', 'LAWS_OF_MOTION'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"What is the difference between mitosis and meiosis, and how do they relate to evolution?","{'intent': ['CONCEPT_EXPLANATION', 'THEORY_REVIEW', 'REAL_WORLD_APPLICATION'], 'subject': ['BIOLOGY'], 'topic': ['CELL_STRUCTURE', 'HEREDITY_AND_EVOLUTION'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
Analyze the symbolism in 'The Great Gatsby' and answer a comprehension question about its themes.,"{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'THEORY_REVIEW'], 'subject': ['ENGLISH'], 'topic': ['LITERATURE', 'COMPREHENSION'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
How do river systems shape physical landscapes and support human economies?,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY'], 'topic': ['PHYSICAL_FEATURES', 'RESOURCES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"Write a Python script to check if a number is prime, and explain its use in cryptography.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['COMPUTER_SCIENCE', 'MATH'], 'topic': ['PROGRAMMING_BASICS', 'NUMBER_SYSTEMS', 'CYBER_SECURITY'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"What are the properties of electromagnetic waves, and how are they used in communication systems?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['PHYSICS'], 'topic': ['OPTICS', 'ELECTRICITY'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Solve for the pH of a 0.1M HCl solution, and explain its significance in industrial processes.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['CHEMISTRY'], 'topic': ['ACIDS_BASES_SALTS', 'CHEMICAL_REACTIONS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
How did ancient Egyptian and Mesopotamian civilizations contribute to modern mathematics?,"{'intent': ['THEORY_REVIEW', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['HISTORY', 'MATH'], 'topic': ['ANCIENT_CIVILIZATIONS', 'NUMBER_SYSTEMS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"What is the role of enzymes in chemical reactions, and how are they tested in a lab?","{'intent': ['CONCEPT_EXPLANATION', 'EXAM_PREPARATION', 'REAL_WORLD_APPLICATION'], 'subject': ['BIOLOGY', 'CHEMISTRY'], 'topic': ['CELL_STRUCTURE', 'CHEMICAL_REACTIONS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Find the area of a circle with radius 5cm, and explain its application in designing circular structures.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['MATH'], 'topic': ['GEOMETRY'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
"How does the water cycle interact with climate patterns, and what are its economic impacts?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY'], 'topic': ['WEATHER_AND_CLIMATE', 'RESOURCES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What are the grammatical rules for using commas, and analyze their use in a given paragraph?","{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'EXAM_PREPARATION'], 'subject': ['ENGLISH'], 'topic': ['GRAMMAR', 'COMPREHENSION'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"Explain the law of universal gravitation, and solve a problem involving planetary orbits.","{'intent': ['CONCEPT_EXPLANATION', 'PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION'], 'subject': ['PHYSICS'], 'topic': ['GRAVITATION', 'LAWS_OF_MOTION'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"What are the ecological roles of microorganisms, and how are they studied in lab experiments?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['BIOLOGY'], 'topic': ['MICROORGANISMS', 'CELL_STRUCTURE'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
Explain the Doppler effect and its applications in astronomy and medical imaging.,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS', 'BIOLOGY'], 'topic': ['OPTICS', 'HUMAN_BODY'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"Solve the system of equations: 2x + y = 5, x - y = 1, and discuss their geometric interpretation.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['ALGEBRA', 'GEOMETRY'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
Which of the following are properties of covalent bonds? A) High melting point B) Soluble in water C) Formed by sharing electrons D) Conduct electricity,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY'], 'topic': ['ATOMIC_STRUCTURE', 'CHEMICAL_REACTIONS'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
How did the Renaissance influence art and scientific advancements in Europe?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY', 'COMPUTER_SCIENCE'], 'topic': ['MODERN_HISTORY', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
Write a program to calculate Fibonacci numbers and explain its relevance to natural patterns.,"{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['COMPUTER_SCIENCE', 'MATH', 'BIOLOGY'], 'topic': ['PROGRAMMING_BASICS', 'NUMBER_SYSTEMS', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"How does thermal energy transfer occur, and what are its implications for climate systems?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS', 'GEOGRAPHY'], 'topic': ['THERMODYNAMICS', 'WEATHER_AND_CLIMATE'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"What is the role of the circulatory system, and how does it interact with other body systems?","{'intent': ['CONCEPT_EXPLANATION', 'THEORY_REVIEW', 'REAL_WORLD_APPLICATION'], 'subject': ['BIOLOGY'], 'topic': ['HUMAN_BODY', 'CELL_STRUCTURE'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"Calculate the probability of rolling a sum of 7 with two dice, and explain its use in statistics.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['STATISTICS', 'NUMBER_SYSTEMS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
Analyze the use of metaphors in 'Romeo and Juliet' and answer a related comprehension question.,"{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'THEORY_REVIEW'], 'subject': ['ENGLISH'], 'topic': ['LITERATURE', 'COMPREHENSION'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
How do volcanic eruptions affect global climate and human settlements?,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY', 'HISTORY'], 'topic': ['PHYSICAL_FEATURES', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_10']}"
"What is the significance of the periodic table, and how is it used in chemical reactions?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY'], 'topic': ['PERIODIC_TABLE', 'CHEMICAL_REACTIONS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"Solve for the derivative of f(x) = e^x * cos(x), and discuss its applications in physics.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH', 'PHYSICS'], 'topic': ['CALCULUS', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
How did the Cold War shape global politics and technological advancements?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY', 'COMPUTER_SCIENCE'], 'topic': ['WORLD_WARS', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"What are the ecological impacts of deforestation, and how can they be studied in a lab?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['GEOGRAPHY', 'BIOLOGY'], 'topic': ['ENVIRONMENTAL_STUDIES', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"Write a program to implement a stack, and explain its use in algorithm design.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['COMPUTER_SCIENCE'], 'topic': ['DATA_STRUCTURES', 'ALGORITHMS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"What are the principles of conservation of momentum, and how are they applied in vehicle safety?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS'], 'topic': ['LAWS_OF_MOTION', 'WORK_AND_ENERGY'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
Which of the following are parts of a plant cell? A) Cell wall B) Nucleus C) Mitochondria D) Lysosome,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['BIOLOGY'], 'topic': ['CELL_STRUCTURE', 'PLANT_PHYSIOLOGY'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_7']}"
"How do you use prepositions correctly, and analyze their use in a short story?","{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'EXAM_PREPARATION'], 'subject': ['ENGLISH'], 'topic': ['GRAMMAR', 'LITERATURE'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"Calculate the volume of a cone with radius 3cm and height 4cm, and explain its use in architecture.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['MATH'], 'topic': ['GEOMETRY'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
"What are the causes and effects of acid rain, and how can they be mitigated?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['CHEMISTRY', 'GEOGRAPHY'], 'topic': ['ACIDS_BASES_SALTS', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
Explain the concept of natural selection and its role in biodiversity conservation.,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['BIOLOGY', 'GEOGRAPHY'], 'topic': ['HEREDITY_AND_EVOLUTION', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Solve the equation tan(x) = 1 for x in [0, 2π], and discuss its applications in navigation.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['TRIGONOMETRY', 'ALGEBRA'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
Which of the following are characteristics of ionic compounds? A) High melting point B) Conduct electricity in solution C) Form crystals D) Low solubility in water,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY'], 'topic': ['CHEMICAL_REACTIONS', 'METALS_NONMETALS'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
How did the Silk Road influence trade and cultural exchange in ancient civilizations?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY', 'GEOGRAPHY'], 'topic': ['ANCIENT_CIVILIZATIONS', 'RESOURCES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"Write a program to reverse a string, and explain its use in data processing.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['COMPUTER_SCIENCE'], 'topic': ['PROGRAMMING_BASICS', 'ALGORITHMS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_11']}"
"How does the law of reflection apply to mirrors, and what are its uses in optical devices?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS'], 'topic': ['OPTICS', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"What is the role of the respiratory system, and how does it interact with environmental factors?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['BIOLOGY', 'GEOGRAPHY'], 'topic': ['HUMAN_BODY', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"Calculate the mean and standard deviation of the dataset [2, 4, 6, 8], and explain their significance in data analysis.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['STATISTICS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_11']}"
Analyze the theme of love in 'Pride and Prejudice' and solve a related comprehension question.,"{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'THEORY_REVIEW'], 'subject': ['ENGLISH'], 'topic': ['LITERATURE', 'COMPREHENSION'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
How do ocean currents influence climate and economic activities?,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY'], 'topic': ['WEATHER_AND_CLIMATE', 'RESOURCES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What is the significance of atomic orbitals, and how are they used in chemical bonding?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY'], 'topic': ['ATOMIC_STRUCTURE', 'CHEMICAL_REACTIONS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Solve for the integral of ∫x² dx from 0 to 2, and discuss its applications in physics.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH', 'PHYSICS'], 'topic': ['CALCULUS', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
How did the American Revolution influence democratic ideals and global politics?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY'], 'topic': ['FREEDOM_MOVEMENTS', 'MODERN_HISTORY'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What are the effects of pollution on ecosystems, and how can they be studied in a lab?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['BIOLOGY', 'GEOGRAPHY'], 'topic': ['NOT_FOUND', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Write a program to implement a queue, and explain its use in operating systems.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['COMPUTER_SCIENCE'], 'topic': ['DATA_STRUCTURES', 'ALGORITHMS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"What is the principle of conservation of energy, and how is it applied in renewable energy systems?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS'], 'topic': ['WORK_AND_ENERGY', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
Which of the following are parts of an animal cell? A) Chloroplast B) Nucleus C) Cell wall D) Mitochondria,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['BIOLOGY'], 'topic': ['CELL_STRUCTURE', 'HUMAN_BODY'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_7']}"
"What are the rules for subject-verb agreement, and analyze their use in a given text?","{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'EXAM_PREPARATION'], 'subject': ['ENGLISH'], 'topic': ['GRAMMAR', 'COMPREHENSION'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"Calculate the surface area of a sphere with radius 4cm, and explain its use in design.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['MATH'], 'topic': ['GEOMETRY'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
"What are the causes and effects of global warming, and how can they be mitigated?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY', 'CHEMISTRY'], 'topic': ['WEATHER_AND_CLIMATE', 'CHEMICAL_REACTIONS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
Explain the concept of entropy and its role in energy efficiency in industrial processes.,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS', 'CHEMISTRY'], 'topic': ['THERMODYNAMICS', 'CHEMICAL_REACTIONS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"Solve the system of equations: x + 2y = 4, 3x - y = 7, and discuss their use in economics.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['ALGEBRA', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
Which of the following are properties of noble gases? A) Chemically reactive B) Low boiling point C) Form compounds easily D) Stable electron configuration,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY'], 'topic': ['PERIODIC_TABLE', 'ATOMIC_STRUCTURE'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
How did the Mughal Empire influence architecture and cultural integration in India?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY'], 'topic': ['MEDIEVAL_HISTORY', 'ANCIENT_CIVILIZATIONS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
